model,param_count,prompt,prompt_example,test_count,first_micro_avg,first_micro_std,all_micro_avg,any_micro_std,first_macro_avg,first_macro_std,all_macro_avg,any_macro_std,reason,comments
google/flan-t5-small,80000000,Carry,"Carry the digit from the tens place.
###
27 // 10 = 2
###
44 // 10 = 4",90.0,0.0811111111111111,0.029006172182681363,0.08244444444444445,0.02851683496714195,0.0811111111111111,0.029006172182681353,0.08244444444444445,0.028516834967141944,Carry occurs in multiplication at some digits place is greater than 9.,
google/flan-t5-small,80000000,Concatenate,"Concatenate the numbers.
###
2 & 1 & 9 = 219
###
2 & 3 & 3 = 233",1100.0,0.0005454545454545455,0.0004979295977319692,0.0005454545454545455,0.0004979295977319692,0.0005454545454545455,0.0004979295977319692,0.0005454545454545455,0.0004979295977319692,The digits needs to be concatenated to the final answer.,
google/flan-t5-small,80000000,Multiply,"Multiply two numbers.
###
3898 * 9709 = 37845682
###
15480 * 75948 = 1175675040",13000.0,0.010472307692307692,0.003479673010550708,0.016103076923076925,0.0033884838032971474,0.010472307692307694,0.0034796730105507157,0.01610307692307692,0.00338848380329715,Multiplication is the compositional task.,
google/flan-t5-small,80000000,"Multiply, primed with carry","Carry the digit from the tens place.
###
85 // 10 = 8
###

Multiply two numbers.
###
3898 * 9709 = 37845682
###
15480 * 75948 = 1175675040",13000.0,0.01806307692307692,0.0024567706228891466,0.02126,0.0038018268732235164,0.018063076923076935,0.002456770622889148,0.021260000000000005,0.003801826873223515,Multiplication is the compositional task.,
google/flan-t5-small,80000000,"Multiply, primed with concatenate","Concatenate the numbers.
###
1 & 6 & 7 = 167
###

Multiply two numbers.
###
3898 * 9709 = 37845682
###
15480 * 75948 = 1175675040",13000.0,0.012936923076923077,0.004540730853771289,0.017878461538461538,0.00454479479881255,0.012936923076923082,0.004540730853771302,0.017878461538461538,0.0045447947988125495,Multiplication is the compositional task.,
google/flan-t5-small,80000000,"Multiply, primed with multiply with 1 digit","Multiply two numbers.
###
7 * 5 = 35
###

Multiply two numbers.
###
3898 * 9709 = 37845682
###
15480 * 75948 = 1175675040",13000.0,0.011518461538461538,0.0037379890489643653,0.016473846153846155,0.004318785852829884,0.011518461538461535,0.0037379890489643674,0.016473846153846144,0.004318785852829881,Multiplication is the compositional task.,
google/flan-t5-small,80000000,"Multiply, primed with sum","Add two numbers.
###
97 + 9 = 106
###

Multiply two numbers.
###
3898 * 9709 = 37845682
###
15480 * 75948 = 1175675040",13000.0,0.011792307692307692,0.0046582020301663765,0.016353846153846153,0.0035255911418382423,0.011792307692307692,0.004658202030166375,0.016353846153846146,0.003525591141838249,Multiplication is the compositional task.,
google/flan-t5-small,80000000,Multiply 1-digit,"Multiply two numbers.
###
6 * 6 = 36
###
9 * 0 = 0",100.0,0.1938,0.013065221008463652,0.2256,0.022831995094603538,0.1938,0.01306522100846367,0.22560000000000005,0.022831995094603562,Multiplication requires multiplying two values at some digits place.,
google/flan-t5-small,80000000,Sum,"Add two numbers.
###
17 + 72 = 89
###
18 + 41 = 59",10000.0,0.0017079999999999999,0.0016163137071744458,0.002256,0.0021726895774592373,0.0017080000000000003,0.001616313707174447,0.002256,0.0021726895774592386,Summation is done after carrying occurs.,
google/flan-t5-base,248000000,Carry,"Carry the digit from the tens place.
###
27 // 10 = 2
###
44 // 10 = 4",90.0,0.09,0.02473314365505785,0.09,0.02473314365505785,0.09,0.024733143655057847,0.09,0.024733143655057847,Carry occurs in multiplication at some digits place is greater than 9.,
google/flan-t5-base,248000000,Concatenate,"Concatenate the numbers.
###
2 & 1 & 9 = 219
###
2 & 3 & 3 = 233",1100.0,0.00021818181818181818,0.0003941724252487054,0.0009090909090909091,0.0,0.00021818181818181818,0.0003941724252487054,0.0009090909090909091,0.0,The digits needs to be concatenated to the final answer.,
google/flan-t5-base,248000000,Multiply,"Multiply two numbers.
###
3898 * 9709 = 37845682
###
15480 * 75948 = 1175675040",13000.0,0.00012153846153846154,0.00023117912315399184,0.00012307692307692307,0.00023458385664579855,0.00012153846153846154,0.00023117912315399184,0.00012307692307692307,0.00023458385664579855,Multiplication is the compositional task.,
google/flan-t5-base,248000000,"Multiply, primed with carry","Carry the digit from the tens place.
###
85 // 10 = 8
###

Multiply two numbers.
###
3898 * 9709 = 37845682
###
15480 * 75948 = 1175675040",13000.0,0.005964615384615384,0.004128672293999925,0.005966153846153846,0.004131423096795307,0.005964615384615385,0.004128672293999926,0.005966153846153848,0.004131423096795308,Multiplication is the compositional task.,
