experiment,model,param_count,prompt,prompt_example,test_count,first_micro_avg,first_micro_std,first_micro_tt,reason,comments
Multiplication,google/flan-t5-small,80000000,Carry,"Q: Carry the digit from the tens place.
27 // 10 =
A: 2

Q: Carry the digit from the tens place.
44 // 10 =
A: ",90.0,0.31911111111111107,0.04662643768676763,,Carry occurs in multiplication at some digits place is greater than 9.,
Multiplication,google/flan-t5-small,80000000,Concatenate,"Q: Concatenate the numbers.
1 & 7 & 5 =
A: 175

Q: Concatenate the numbers.
2 & 3 & 3 =
A: ",1100.0,0.0,0.0,,The digits needs to be concatenated to the final answer.,
Multiplication,google/flan-t5-small,80000000,Multiply,"Q: Multiply two numbers.
38 * 98 =
A: 3724

Q: Multiply two numbers.
15480 * 75948 =
A: ",13000.0,0.009190769230769232,0.0012186946164020487,,Multiplication is the compositional task.,
Multiplication,google/flan-t5-small,80000000,Multiply + carry,"Q: Carry the digit from the tens place.
40 // 10 =
A: 4

Q: Multiply two numbers.
38 * 98 =
A: 3724

Q: Multiply two numbers.
15480 * 75948 =
A: ",13000.0,0.015030769230769231,0.0001443204849176438,0.9132675617234837,Multiplication is the compositional task. We are priming multiplication with carry because multiplication depends on this subtask.,
Multiplication,google/flan-t5-small,80000000,Multiply + concatenate,"Q: Concatenate the numbers.
3 & 8 & 7 =
A: 387

Q: Multiply two numbers.
38 * 98 =
A: 3724

Q: Multiply two numbers.
15480 * 75948 =
A: ",13000.0,0.013249230769230768,0.0017767838773316137,0.9334402997414608,Multiplication is the compositional task. We are priming multiplication with concatenate because multiplication depends on this subtask.,
Multiplication,google/flan-t5-small,80000000,Multiply + multiply with 1 digit,"Q: Multiply two numbers.
3 * 0 =
A: 0

Q: Multiply two numbers.
38 * 98 =
A: 3724

Q: Multiply two numbers.
15480 * 75948 =
A: ",13000.0,0.009415384615384617,0.001012910739246294,0.9955678299250597,Multiplication is the compositional task. We are priming multiplication with multiplication of 1 digit numbers because multiplication depends on this subtask.,
Multiplication,google/flan-t5-small,80000000,Multiply + sum,"Q: Add two numbers.
38 + 98 =
A: 136

Q: Multiply two numbers.
38 * 98 =
A: 3724

Q: Multiply two numbers.
15480 * 75948 =
A: ",13000.0,0.00868,0.001318898590159327,0.98918945440238,Multiplication is the compositional task. We are priming multiplication with summation of numbers up to 2 digits because multiplication depends on this subtask.,
Multiplication,google/flan-t5-small,80000000,Multiply + exponentiate,"Q: Exponentiate the number.
3**0 =
A: 1

Q: Multiply two numbers.
38 * 98 =
A: 3724

Q: Multiply two numbers.
15480 * 75948 =
A: ",13000.0,0.015667692307692306,0.0010705570081468373,0.9047090107718505,Multiplication is the compositional task. We are priming multiplication with exponentiate to see if the performance stays the same or get worse because this task is not required for multiplication.,
Multiplication,google/flan-t5-small,80000000,Multiply + subtract,"Q: Subtract two numbers.
38 - 98 =
A: -60

Q: Multiply two numbers.
38 * 98 =
A: 3724

Q: Multiply two numbers.
15480 * 75948 =
A: ",13000.0,0.010344615384615386,0.001882629408865234,0.9779787188763003,Multiplication is the compositional task. We are priming multiplication with subtraction to see if the performance stays the same or get worse because this task is not required for multiplication.,
Multiplication,google/flan-t5-small,80000000,Multiply + reverse,"Q: Reverse the string.
The reverse of gtpdvl is
A: lvdptg

Q: Multiply two numbers.
38 * 98 =
A: 3724

Q: Multiply two numbers.
15480 * 75948 =
A: ",13000.0,0.01645846153846154,0.0019209317265912532,0.8949523402304166,Multiplication is the compositional task. We are priming multiplication with string reverse to see if the performance stays the same or get worse because this task is not required for multiplication.,
Multiplication,google/flan-t5-small,80000000,Multiply 1-digit,"Q: Multiply two numbers.
4 * 9 =
A: 36

Q: Multiply two numbers.
9 * 0 =
A: ",100.0,0.19519999999999998,0.010399999999999998,,Multiplication requires multiplying two values at some digits place.,
Multiplication,google/flan-t5-small,80000000,Sum,"Q: Add two numbers.
22 + 1 =
A: 23

Q: Add two numbers.
18 + 41 =
A: ",10000.0,9.6e-05,7.999999999999998e-06,,Summation is done after carrying occurs.,
Multiplication,google/flan-t5-base,248000000,Carry,"Q: Carry the digit from the tens place.
27 // 10 =
A: 2

Q: Carry the digit from the tens place.
44 // 10 =
A: ",90.0,0.16044444444444445,0.03391783827260251,,Carry occurs in multiplication at some digits place is greater than 9.,
Multiplication,google/flan-t5-base,248000000,Concatenate,"Q: Concatenate the numbers.
1 & 7 & 5 =
A: 175

Q: Concatenate the numbers.
2 & 3 & 3 =
A: ",1100.0,0.0010909090909090907,0.0003636363636363636,,The digits needs to be concatenated to the final answer.,
Multiplication,google/flan-t5-base,248000000,Multiply,"Q: Multiply two numbers.
38 * 98 =
A: 3724

Q: Multiply two numbers.
15480 * 75948 =
A: ",13000.0,0.00792,0.0005658025666066724,,Multiplication is the compositional task.,
