model,param_count,prompt,prompt_example,test_count,first_any_accuracy,any_any_accuracy,first_mode_accuracy,any_mode_accuracy,first_majority_accuracy,any_majority_accuracy,reason,comments
flan-t5-small,80000000,Carry,"Carry the digit from the tens place.
###
59 // 10 = 5
63 // 10 = 6
15 // 10 = 1
43 // 10 = 4
75 // 10 = 7
72 // 10 = 7
###
12 // 10 =",90,0.1,0.4111111111111111,0.022222222222222223,0.03333333333333333,0.022222222222222223,0.2111111111111111,Carry occurs in multiplication at some digits place is greater than 9.,
flan-t5-small,80000000,Concatenate,"Concatenate the numbers.
###
6 & 6 & 0 = 660
4 & 8 & 7 = 487
6 & 4 & 7 = 647
5 & 9 & 3 = 593
8 & 2 & 4 = 824
2 & 1 & 9 = 219
###
9 & 9 & 3 =",1000,0.001,0.002,0.001,0.0,0.001,0.001,The digits needs to be concatenated to the final answer.,
flan-t5-small,80000000,Multiply 1-digit,"Multiply two numbers.
###
6 * 6 = 36
0 * 4 = 0
8 * 7 = 56
6 * 4 = 24
7 * 5 = 35
9 * 3 = 27
###
2 * 6 =",100,0.32,0.54,0.1,0.1,0.06,0.38,Multiplication requires multiplying two values at some digits place.,
flan-t5-small,80000000,Sum,"Add two numbers.
###
49 + 97 = 146
53 + 5 = 58
33 + 65 = 98
62 + 51 = 113
100 + 38 = 138
61 + 45 = 106
###
93 + 94 =",10000,0.0151,0.025,0.0024,0.0022,0.0012,0.0017,Summation is done after carrying occurs.,
flan-t5-base,248000000,Carry,"Carry the digit from the tens place.
###
59 // 10 = 5
63 // 10 = 6
15 // 10 = 1
43 // 10 = 4
75 // 10 = 7
72 // 10 = 7
###
12 // 10 =",90,0.03333333333333333,0.26666666666666666,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.044444444444444446,Carry occurs in multiplication at some digits place is greater than 9.,
flan-t5-base,248000000,Concatenate,"Concatenate the numbers.
###
6 & 6 & 0 = 660
4 & 8 & 7 = 487
6 & 4 & 7 = 647
5 & 9 & 3 = 593
8 & 2 & 4 = 824
2 & 1 & 9 = 219
###
9 & 9 & 3 =",1000,0.0,0.0,0.0,0.0,0.0,0.0,The digits needs to be concatenated to the final answer.,
flan-t5-base,248000000,Multiply 1-digit,"Multiply two numbers.
###
6 * 6 = 36
0 * 4 = 0
8 * 7 = 56
6 * 4 = 24
7 * 5 = 35
9 * 3 = 27
###
2 * 6 =",100,0.23,0.37,0.15,0.18,0.11,0.23,Multiplication requires multiplying two values at some digits place.,
flan-t5-base,248000000,Sum,"Add two numbers.
###
49 + 97 = 146
53 + 5 = 58
33 + 65 = 98
62 + 51 = 113
100 + 38 = 138
61 + 45 = 106
###
93 + 94 =",10000,0.0004,0.0019,0.0001,0.0001,0.0,0.0,Summation is done after carrying occurs.,
flan-t5-large,780000000,Carry,"Carry the digit from the tens place.
###
59 // 10 = 5
63 // 10 = 6
15 // 10 = 1
43 // 10 = 4
75 // 10 = 7
72 // 10 = 7
###
12 // 10 =",90,0.2,0.2,0.07777777777777778,0.07777777777777778,0.06666666666666667,0.06666666666666667,Carry occurs in multiplication at some digits place is greater than 9.,
flan-t5-large,780000000,Concatenate,"Concatenate the numbers.
###
6 & 6 & 0 = 660
4 & 8 & 7 = 487
6 & 4 & 7 = 647
5 & 9 & 3 = 593
8 & 2 & 4 = 824
2 & 1 & 9 = 219
###
9 & 9 & 3 =",1000,0.003,0.004,0.003,0.002,0.003,0.004,The digits needs to be concatenated to the final answer.,
